movieid,genreId,genre
1,0,Adventure
1,1,Animation
1,2,Children
1,3,Comedy
1,4,Fantasy
2,0,Adventure
2,2,Children
2,4,Fantasy
3,3,Comedy
3,5,Romance
4,3,Comedy
4,6,Drama
4,5,Romance
5,3,Comedy
6,7,Action
6,8,Crime
6,9,Thriller
7,3,Comedy
7,5,Romance
8,0,Adventure
8,2,Children
9,7,Action
10,7,Action
10,0,Adventure
10,9,Thriller
11,3,Comedy
11,6,Drama
11,5,Romance
12,3,Comedy
12,10,Horror
13,0,Adventure
13,1,Animation
13,2,Children
14,6,Drama
15,7,Action
15,0,Adventure
15,5,Romance
16,8,Crime
16,6,Drama
17,6,Drama
17,5,Romance
18,3,Comedy
19,3,Comedy
20,7,Action
20,3,Comedy
20,8,Crime
20,6,Drama
20,9,Thriller
21,3,Comedy
21,8,Crime
21,9,Thriller
22,8,Crime
22,6,Drama
22,10,Horror
22,11,Mystery
22,9,Thriller
23,7,Action
23,8,Crime
23,9,Thriller
24,6,Drama
24,12,Sci-Fi
25,6,Drama
25,5,Romance
26,6,Drama
27,2,Children
27,6,Drama
28,6,Drama
28,5,Romance
29,0,Adventure
29,6,Drama
29,4,Fantasy
29,11,Mystery
29,12,Sci-Fi
30,8,Crime
30,6,Drama
31,6,Drama
32,11,Mystery
32,12,Sci-Fi
32,9,Thriller
34,2,Children
34,6,Drama
36,8,Crime
36,6,Drama
38,2,Children
38,3,Comedy
39,3,Comedy
39,5,Romance
40,6,Drama
41,6,Drama
41,13,War
42,7,Action
42,8,Crime
42,6,Drama
43,6,Drama
44,7,Action
44,0,Adventure
44,4,Fantasy
45,3,Comedy
45,6,Drama
45,9,Thriller
46,6,Drama
46,5,Romance
47,11,Mystery
47,9,Thriller
48,1,Animation
48,2,Children
48,6,Drama
48,14,Musical
48,5,Romance
49,6,Drama
49,5,Romance
50,8,Crime
50,11,Mystery
50,9,Thriller
52,3,Comedy
52,6,Drama
52,5,Romance
53,0,Adventure
53,6,Drama
54,2,Children
54,3,Comedy
55,6,Drama
57,6,Drama
58,3,Comedy
58,6,Drama
58,5,Romance
60,0,Adventure
60,2,Children
60,4,Fantasy
61,6,Drama
61,9,Thriller
62,6,Drama
63,3,Comedy
63,8,Crime
64,3,Comedy
64,5,Romance
65,3,Comedy
66,7,Action
66,12,Sci-Fi
66,9,Thriller
68,3,Comedy
68,5,Romance
69,3,Comedy
70,7,Action
70,3,Comedy
70,10,Horror
70,9,Thriller
71,7,Action
72,3,Comedy
72,6,Drama
73,6,Drama
73,13,War
74,6,Drama
74,5,Romance
75,3,Comedy
75,6,Drama
76,7,Action
76,12,Sci-Fi
76,9,Thriller
77,15,Documentary
78,7,Action
78,8,Crime
78,6,Drama
78,9,Thriller
79,6,Drama
79,9,Thriller
80,2,Children
80,6,Drama
81,8,Crime
81,6,Drama
81,5,Romance
82,3,Comedy
82,6,Drama
83,6,Drama
83,5,Romance
85,6,Drama
85,5,Romance
86,7,Action
86,0,Adventure
86,6,Drama
87,2,Children
87,3,Comedy
88,3,Comedy
89,7,Action
89,9,Thriller
92,6,Drama
